"","lon","lat"
"1007",-84.5,38
"1008",-78.7,43.2
"1009",-77.1,40.1
"1010",-88.2,30.4
"1012",-111.9,33.4
"1013",-80.3,25.7
"1015",-80.4,37.8
"1016",-84.3,33.9
"1018",-79.5,34.8
"1019",-78.8,35.8
"1020",-111.7,40.3
"1021",-78.8,35.8
"1022",-80.1,39.5
"1023",-83.1,39.9
"1024",-82.3,29.7
"1025",-97.1,36.7
"1026",-80.9,35.1
"1027",-80.2,40.2
"1028",-81.9,41.4
"1030",-83.1,40
"1033",-76.5,38.9
"1034",-74.4,40.7
"1035",-74,40.8
"1036",-75.6,41.4
"1037",-92.4,39.1
"1038",-111.9,40.8
"1039",-117.9,33.6
"1040",-97.4,32.7
"1041",-81.8,41.5
"1042",-121.8,38.6
"1045",-71.4,42.5
"1046",-89.7,30.3
"1048",-87.7,42
"1050",-78.9,36
"1051",-93.5,37.1
"1052",-74.2,40.8
"1053",-122.3,47.7
"1054",-80,32.7
"1055",-74,40.8
"1056",-96.7,40.8
"1057",-70.2,44.1
"1058",-121.9,37.3
"1059",-110.6,32.7
"1060",-74,40.6
"1061",-118.5,34
"1062",-79.1,36.1
"1063",-76.9,40.3
"1064",-105.6,41.3
"1065",-73.4,41.4
"1066",-82.1,33.5
"1067",-71.2,42.3
"1068",-84.4,42.8
"1069",-76.7,39.2
"1070",-78.6,35.9
"1071",-87.9,43.5
"1072",-74.4,41.1
"1073",-74,40.8
"1074",-111.9,33.4
"1075",-85.7,40.1
"1076",-71.5,41.7
"1077",-85,35.9
"1079",-121.5,38.6
"1080",-122.7,45.6
"1081",-94.7,38.5
"1082",-112.1,33.3
"1083",-77.2,38.3
"1084",-123.1,44.1
"1085",-87.7,41.9
"1087",-121.8,39.7
"1088",-105.1,40.2
"1089",-91.7,42.2
"1090",-75.9,44
"1091",-71.8,42.2
"1093",-89,38.5
"1094",-118.3,34.1
"1095",-91.6,42
"1097",-78.8,43
"1098",-83.8,42.3
"1099",-92.6,44.1
"1100",-117.2,32.9
"1101",-88.5,39.1
"1102",-100.4,31.4
